candidate_id,rollout_id,root_family_id,case_id,reference_status,reference_reason,expected_action,selected_action,selected_time,correct,selected_reason,historical_hold_seen,data_status_at_selection,hold_state_at_selection
B_count2,L2RAR2_REPAIR_00_840000:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_00_840000,K1_hold_request_ends_without_hold,reference_labeled,,retry_grasp,retry_grasp,0.45,True,hold_request_normally_ended_without_hold,False,valid,valid_no_current_hold_evidence
B_count2,L2RAR2_REPAIR_00_840000:K2_touch_request_completes_without_hold,L2RAR2_REPAIR_00_840000,K2_touch_request_completes_without_hold,reference_labeled,,none,none,,True,no_emergency_condition,False,valid,valid_no_current_hold_evidence
B_count2,L2RAR2_REPAIR_00_840000:K3_normal_hold_pause_resume,L2RAR2_REPAIR_00_840000,K3_normal_hold_pause_resume,reference_labeled,,none,none,,True,no_emergency_condition,True,valid,historical_hold_established
B_count2,L2RAR2_REPAIR_00_840000:K4_regular_hold_loss,L2RAR2_REPAIR_00_840000,K4_regular_hold_loss,reference_labeled,,recover_object,none,,False,no_emergency_condition,True,valid,historical_hold_established
B_count2,L2RAR2_REPAIR_00_840000:K5_brief_hold_loss,L2RAR2_REPAIR_00_840000,K5_brief_hold_loss,reference_labeled,,recover_object,none,,False,no_emergency_condition,True,valid,historical_hold_established
B_count2,L2RAR2_REPAIR_00_840000:K6_long_gap_after_loss,L2RAR2_REPAIR_00_840000,K6_long_gap_after_loss,reference_labeled,,recover_object,none,,False,no_emergency_condition,True,valid,historical_hold_established
B_count2,L2RAR2_REPAIR_00_840000:K7_commanded_release,L2RAR2_REPAIR_00_840000,K7_commanded_release,reference_labeled,,none,none,,True,no_emergency_condition,True,valid,historical_hold_established
B_count2,L2RAR2_REPAIR_00_840000:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_00_840000,K8_acquisition_touch_then_continue,reference_labeled,,none,none,,True,no_emergency_condition,False,valid,historical_hold_established
B_count2,L2RAR2_REPAIR_01_840001:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_01_840001,K1_hold_request_ends_without_hold,reference_labeled,,retry_grasp,retry_grasp,0.45,True,hold_request_normally_ended_without_hold,False,valid,valid_no_current_hold_evidence
B_count2,L2RAR2_REPAIR_01_840001:K2_touch_request_completes_without_hold,L2RAR2_REPAIR_01_840001,K2_touch_request_completes_without_hold,reference_labeled,,none,none,,True,no_emergency_condition,False,valid,valid_no_current_hold_evidence
B_count2,L2RAR2_REPAIR_01_840001:K3_normal_hold_pause_resume,L2RAR2_REPAIR_01_840001,K3_normal_hold_pause_resume,reference_labeled,,none,none,,True,no_emergency_condition,True,valid,historical_hold_established
B_count2,L2RAR2_REPAIR_01_840001:K4_regular_hold_loss,L2RAR2_REPAIR_01_840001,K4_regular_hold_loss,reference_labeled,,recover_object,none,,False,no_emergency_condition,True,valid,historical_hold_established
B_count2,L2RAR2_REPAIR_01_840001:K5_brief_hold_loss,L2RAR2_REPAIR_01_840001,K5_brief_hold_loss,reference_labeled,,recover_object,none,,False,no_emergency_condition,True,valid,historical_hold_established
B_count2,L2RAR2_REPAIR_01_840001:K6_long_gap_after_loss,L2RAR2_REPAIR_01_840001,K6_long_gap_after_loss,reference_labeled,,recover_object,none,,False,no_emergency_condition,True,valid,historical_hold_established
B_count2,L2RAR2_REPAIR_01_840001:K7_commanded_release,L2RAR2_REPAIR_01_840001,K7_commanded_release,reference_labeled,,none,none,,True,no_emergency_condition,True,valid,historical_hold_established
B_count2,L2RAR2_REPAIR_01_840001:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_01_840001,K8_acquisition_touch_then_continue,reference_labeled,,none,none,,True,no_emergency_condition,False,valid,historical_hold_established
B_count2,L2RAR2_REPAIR_02_840002:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_02_840002,K1_hold_request_ends_without_hold,reference_labeled,,retry_grasp,retry_grasp,0.45,True,hold_request_normally_ended_without_hold,False,valid,valid_no_current_hold_evidence
