rollout_id,family_id,family_seed,rollout_seed,case_id,trace_complete,frame_manifest_complete,detector_job_complete,numeric_health_pass,pre_hold_verified,physical_loss_confirmed,state,reference_action
L2RAR2_RGB_CONF_00_882000__C10_brief_hold_strong_loss,L2RAR2_RGB_CONF_00_882000,882000,88300009,C10_brief_hold_strong_loss,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object
L2RAR2_RGB_CONF_00_882000__C11_transport_strong_loss,L2RAR2_RGB_CONF_00_882000,882000,88300010,C11_transport_strong_loss,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object
L2RAR2_RGB_CONF_00_882000__C12_commanded_release,L2RAR2_RGB_CONF_00_882000,882000,88300011,C12_commanded_release,True,True,True,True,True,False,COMMANDED_RELEASE,none
L2RAR2_RGB_CONF_00_882000__C1_hold_request_ends_without_hold,L2RAR2_RGB_CONF_00_882000,882000,88300000,C1_hold_request_ends_without_hold,True,True,True,True,False,False,MISSED_HOLD_RESOLVED,retry_grasp
L2RAR2_RGB_CONF_00_882000__C2_touch_request_completes_without_hold,L2RAR2_RGB_CONF_00_882000,882000,88300001,C2_touch_request_completes_without_hold,True,True,True,True,False,False,TOUCH_ONLY_RESOLVED,none
L2RAR2_RGB_CONF_00_882000__C3_stable_hold_clean,L2RAR2_RGB_CONF_00_882000,882000,88300002,C3_stable_hold_clean,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none
L2RAR2_RGB_CONF_00_882000__C4_stable_hold_camera_jitter,L2RAR2_RGB_CONF_00_882000,882000,88300003,C4_stable_hold_camera_jitter,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none
L2RAR2_RGB_CONF_00_882000__C5_weld_off_no_force_outcome_control,L2RAR2_RGB_CONF_00_882000,882000,88300004,C5_weld_off_no_force_outcome_control,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object
L2RAR2_RGB_CONF_00_882000__C6_weak_intervention_outcome,L2RAR2_RGB_CONF_00_882000,882000,88300005,C6_weak_intervention_outcome,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object
L2RAR2_RGB_CONF_00_882000__C7_medium_intervention_outcome,L2RAR2_RGB_CONF_00_882000,882000,88300006,C7_medium_intervention_outcome,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object
L2RAR2_RGB_CONF_00_882000__C8_strong_loss_clean,L2RAR2_RGB_CONF_00_882000,882000,88300007,C8_strong_loss_clean,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object
L2RAR2_RGB_CONF_00_882000__C9_strong_loss_frame_dropout,L2RAR2_RGB_CONF_00_882000,882000,88300008,C9_strong_loss_frame_dropout,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object
L2RAR2_RGB_CONF_01_882001__C10_brief_hold_strong_loss,L2RAR2_RGB_CONF_01_882001,882001,88300109,C10_brief_hold_strong_loss,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object
L2RAR2_RGB_CONF_01_882001__C11_transport_strong_loss,L2RAR2_RGB_CONF_01_882001,882001,88300110,C11_transport_strong_loss,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object
L2RAR2_RGB_CONF_01_882001__C12_commanded_release,L2RAR2_RGB_CONF_01_882001,882001,88300111,C12_commanded_release,True,True,True,True,True,False,COMMANDED_RELEASE,none
L2RAR2_RGB_CONF_01_882001__C1_hold_request_ends_without_hold,L2RAR2_RGB_CONF_01_882001,882001,88300100,C1_hold_request_ends_without_hold,True,True,True,True,False,False,MISSED_HOLD_RESOLVED,retry_grasp
L2RAR2_RGB_CONF_01_882001__C2_touch_request_completes_without_hold,L2RAR2_RGB_CONF_01_882001,882001,88300101,C2_touch_request_completes_without_hold,True,True,True,True,False,False,TOUCH_ONLY_RESOLVED,none
L2RAR2_RGB_CONF_01_882001__C3_stable_hold_clean,L2RAR2_RGB_CONF_01_882001,882001,88300102,C3_stable_hold_clean,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none
L2RAR2_RGB_CONF_01_882001__C4_stable_hold_camera_jitter,L2RAR2_RGB_CONF_01_882001,882001,88300103,C4_stable_hold_camera_jitter,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none
L2RAR2_RGB_CONF_01_882001__C5_weld_off_no_force_outcome_control,L2RAR2_RGB_CONF_01_882001,882001,88300104,C5_weld_off_no_force_outcome_control,True,True,True,True,True,False,WELD_OFF_CONTACT_SUPPORTED,none
L2RAR2_RGB_CONF_01_882001__C6_weak_intervention_outcome,L2RAR2_RGB_CONF_01_882001,882001,88300105,C6_weak_intervention_outcome,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object
L2RAR2_RGB_CONF_01_882001__C7_medium_intervention_outcome,L2RAR2_RGB_CONF_01_882001,882001,88300106,C7_medium_intervention_outcome,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object
L2RAR2_RGB_CONF_01_882001__C8_strong_loss_clean,L2RAR2_RGB_CONF_01_882001,882001,88300107,C8_strong_loss_clean,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object
L2RAR2_RGB_CONF_01_882001__C9_strong_loss_frame_dropout,L2RAR2_RGB_CONF_01_882001,882001,88300108,C9_strong_loss_frame_dropout,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object
L2RAR2_RGB_CONF_02_882002__C10_brief_hold_strong_loss,L2RAR2_RGB_CONF_02_882002,882002,88300209,C10_brief_hold_strong_loss,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object
L2RAR2_RGB_CONF_02_882002__C11_transport_strong_loss,L2RAR2_RGB_CONF_02_882002,882002,88300210,C11_transport_strong_loss,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object
